Example_number total_samples_in_that_example correct_samples_in_that_example
0 64 60
1 64 61
2 64 61
3 64 61
4 64 57
5 64 62
6 64 62
7 64 59
8 64 58
9 64 57
10 64 60
11 64 60
12 64 62
13 64 59
14 64 59
15 64 58
16 64 59
17 64 4
18 64 60
19 64 61
20 64 60
21 64 59
22 64 61
23 64 60
24 64 58
25 64 58
26 64 60
27 64 57
28 64 60
29 64 61
30 64 59
31 64 58
32 64 61
33 64 8
34 64 62
35 64 57
36 64 60
37 64 60
38 64 59
39 64 59
40 64 62
41 64 62
42 64 58
43 64 57
44 64 54
45 64 57
46 64 57
47 64 62
48 64 60
49 64 59
50 64 60
51 64 63
52 64 58
53 64 60
54 64 61
55 64 60
56 64 60
57 64 62
58 64 61
59 64 62
60 64 61
61 64 59
62 64 60
63 64 60
64 64 59
65 64 62
66 64 58
67 64 58
68 64 64
69 64 59
70 64 63
71 64 58
72 64 60
73 64 58
74 64 61
75 64 63
76 64 58
77 64 60
78 64 63
79 64 60
80 64 63
81 64 60
82 64 57
83 64 57
84 64 57
85 64 60
86 64 59
87 64 55
88 64 61
89 64 60
90 64 61
91 64 60
92 64 61
93 64 59
94 64 63
95 64 56
96 64 56
97 64 61
98 64 62
99 64 57
100 64 59
101 64 61
102 64 60
103 64 61
104 64 57
105 64 58
106 64 58
107 64 45
108 64 59
109 64 62
110 64 59
111 64 57
112 64 58
113 64 47
114 64 60
115 64 61
116 64 59
117 64 57
118 64 58
119 64 57
120 64 61
121 64 61
122 64 59
123 64 58
124 64 61
125 64 63
126 64 60
127 64 63
128 64 59
129 64 58
130 64 58
131 64 9
132 64 60
133 64 61
134 64 56
135 64 59
136 64 61
137 64 59
138 64 58
139 64 62
140 64 60
141 64 61
142 64 58
143 64 62
144 64 60
145 64 61
146 64 58
147 64 60
148 64 59
149 64 59
150 64 62
151 64 62
152 64 58
